dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,sys,sys_config,variable,1,varchar,128,"PRIMARY KEY",NULL,NULL,NULL
mysql,sys,sys_config,value,2,varchar,128,NULL,NULL,NULL,NULL
mysql,sys,sys_config,set_time,3,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sys,sys_config,set_by,4,varchar,128,NULL,NULL,NULL,NULL
mysql,sakila,actor,actor_id,1,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,actor,first_name,2,varchar,45,NULL,NULL,NULL,NULL
mysql,sakila,actor,last_name,3,varchar,45,NULL,NULL,NULL,NULL
mysql,sakila,actor,last_update,4,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,address,address_id,1,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,address,address,2,varchar,50,NULL,NULL,NULL,NULL
mysql,sakila,address,address2,3,varchar,50,NULL,NULL,NULL,NULL
mysql,sakila,address,district,4,varchar,20,NULL,NULL,NULL,NULL
mysql,sakila,address,city_id,5,smallint,NULL,"FOREIGN KEY",sakila,city,city_id
mysql,sakila,address,postal_code,6,varchar,10,NULL,NULL,NULL,NULL
mysql,sakila,address,phone,7,varchar,20,NULL,NULL,NULL,NULL
mysql,sakila,address,location,8,geometry,NULL,NULL,NULL,NULL,NULL
mysql,sakila,address,last_update,9,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,category,category_id,1,tinyint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,category,name,2,varchar,25,NULL,NULL,NULL,NULL
mysql,sakila,category,last_update,3,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,city,city_id,1,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,city,city,2,varchar,50,NULL,NULL,NULL,NULL
mysql,sakila,city,country_id,3,smallint,NULL,"FOREIGN KEY",sakila,country,country_id
mysql,sakila,city,last_update,4,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,country,country_id,1,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,country,country,2,varchar,50,NULL,NULL,NULL,NULL
mysql,sakila,country,last_update,3,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,customer,customer_id,1,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
